# level_assignment log_likelihood tiebreaker ID
7 -2.415681670875598490e+07 7.476658606777201177e-01 2
12 -3.889874731331024319e+06 4.252002515447300679e-01 1
3 -1.529222787743265629e+08 7.400574840390673481e-01 0
14 -2.327057022377408110e+06 3.741034887052981928e-01 4
10 -6.966793056117283180e+06 8.196742853636023174e-01 2
13 -2.017280688695578836e+06 6.502653393710334795e-01 4
11 -4.334261654052933678e+06 5.709661069400108202e-01 1
9 -8.900449692915227264e+06 3.162339725027858983e-01 1
5 -3.756237498023194820e+07 1.538490883097222983e-01 0
7 -1.673395755403664336e+07 2.027736002695938733e-01 3
13 -1.085246746087881038e+06 9.767628894557986996e-01 2
10 -7.688103768540836871e+06 2.975615008391857552e-02 3
8 -9.369730846444964409e+06 1.100385711208520106e-01 3
8 -1.370371484707392193e+07 6.084500420770559970e-01 3
8 -1.287465019001045637e+07 8.938332271389393124e-01 0
9 -8.571897629508772865e+06 3.693222524581624144e-01 2
12 -2.469109032388721593e+06 8.381345224553893303e-01 0
13 -2.763275953356850892e+06 2.654468223002837690e-01 2
2 -1.530751838391082883e+08 1.174818232078326391e-01 4
12 -2.039473523475594120e+06 7.276143960421068702e-01 1
2 -1.106021081034291536e+08 5.324433234063972176e-01 4
11 -4.677554854341498576e+06 5.228878363950567598e-02 2
15 -1.517977462380872108e+06 2.482485790292088268e-01 1
14 -2.427305267350490671e+06 3.118412736220745329e-01 1
12 -4.015734906366256531e+06 9.383326187657731188e-01 1
10 -5.927547422159786336e+06 7.703055475155999865e-01 2
12 -3.770450757259345613e+06 2.196644335020936090e-01 3
13 -2.915521763396880589e+06 1.620028026731082649e-01 2
9 -9.000189364941861480e+06 8.190960011786844186e-01 3
4 -3.462188598069331050e+07 1.146377359452790401e-01 0
13 -3.056094736827434506e+06 7.502268816266353113e-01 2
4 -1.140601802422099113e+08 3.416253738318693056e-01 0
14 -2.442122413499577902e+06 1.302816386647365765e-01 2
9 -7.146073135186842643e+06 2.792334130466400666e-02 3
10 -5.897384265095496550e+06 1.861160171282190134e-01 3
11 -4.198124107230230235e+06 8.122008687010850991e-01 1
1 -1.000000000000000053e+300 8.640208113449756588e-01 0
13 -3.237104733527034987e+06 2.615111816104141451e-01 1
6 -4.028731813225917518e+07 5.749544469461307372e-01 4
14 -2.559045746794706210e+06 4.851174547541498017e-03 3
10 -5.297281059036940336e+06 4.840248260057622431e-01 1
14 -2.401679567385735456e+06 6.567597212412555896e-01 2
7 -2.591386630137058347e+07 7.713855173668624499e-01 4
4 -9.835948580401411653e+07 8.385971882812537359e-02 2
7 -2.031409531203042343e+07 2.369894124930313484e-03 0
15 -1.543253134465120500e+06 8.574171820983371717e-01 3
13 -2.972503583030473907e+06 4.568266843153676593e-01 0
7 -2.975337799119967222e+07 9.364059898781635916e-01 2
15 -1.340188752619606443e+06 3.598704521172995108e-01 3
11 -4.744395654557713307e+06 9.973577012390411056e-01 0
6 -7.005268909211978316e+07 1.414305302986743756e-02 2
6 -3.167511006641448289e+07 9.925903878824242632e-01 2
15 -1.579715890800421359e+06 8.081394792000342608e-01 4
16 -1.683993803629185306e+06 2.064668480050819710e-01 3
14 -2.457429335559540894e+06 8.483856415162751574e-01 1
2 -1.227046850210835934e+08 3.814959954672825782e-01 2
15 -1.812064360366684152e+06 9.263180215874412538e-01 4
15 -2.025630791872956324e+06 2.342671984762867421e-01 1
15 -1.454237031562342774e+06 5.043384494301286214e-01 1
14 -1.884005151682510041e+06 3.909586711748488930e-01 0
12 -3.717106251922281459e+06 1.507187469169550820e-01 3
11 -4.849438886346115731e+06 2.003646654976236618e-01 3
3 -1.222360728373018354e+08 3.321839694461223985e-02 2
3 -1.482395626084025800e+08 9.158380723084746933e-02 2
15 -2.111529799042775761e+06 2.885750885209731886e-01 3
9 -1.138122344266370311e+07 3.523956073514069587e-01 2
12 -2.746561214688646607e+06 5.010512149972926738e-02 3
11 -4.931807979656906798e+06 4.881798759642706764e-02 0
12 -3.841722681933537591e+06 9.219632956511337740e-01 2
8 -1.199625436881098896e+07 6.065456352157356790e-01 2
15 -1.904781791390220867e+06 4.014382297089506557e-01 3
10 -7.600339004386476241e+06 5.002081759385945681e-02 0
16 -1.759500028755486012e+06 7.633197052338396293e-01 3
11 -4.557546944633586332e+06 1.364092445347164784e-01 2
16 -1.494974438209769316e+06 2.235192810250699880e-01 3
11 -3.866905652050809469e+06 7.826394827192144632e-01 1
13 -2.505520311221505515e+06 7.122159317736600492e-01 2
13 -2.806660621550062671e+06 5.793449456676569298e-02 2
12 -3.672986057583506219e+06 1.871650706653849028e-02 2
16 -1.309453539346587611e+06 3.473414276298489867e-01 2
12 -3.249151549408422317e+06 8.526035938510344581e-01 1
8 -6.975788914612452500e+06 8.306216041968992325e-01 3
12 -3.255552347608800512e+06 3.987280481424723688e-01 3
10 -5.996198477596234530e+06 4.722684414610309744e-01 1
10 -7.622253677282650955e+06 5.542870313638736945e-02 4
15 -1.848971878880314296e+06 6.450378342490519223e-01 4
14 -2.585591930741550401e+06 9.637513238267424454e-01 3
8 -1.162894875102710538e+07 5.117555034911457357e-01 0
12 -3.441282175137637183e+06 1.083626163992281732e-01 3
11 -4.707758653862522915e+06 9.740129321232124937e-01 3
12 -2.846837896646774374e+06 6.030181405879169176e-01 0
12 -3.481842023870439269e+06 2.675084321619521921e-01 2
13 -2.125838412566549145e+06 9.666129141579792305e-01 2
